Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2018-01-07,69,34
2018-01-14,72,35
2018-01-21,71,41
2018-01-28,66,36
2018-02-04,61,45
2018-02-11,59,44
2018-02-18,69,41
2018-02-25,66,43
2018-03-04,68,36
2018-03-11,79,45
2018-03-18,70,46
2018-03-25,71,75
2018-04-01,69,38
2018-04-08,66,37
2018-04-15,75,34
2018-04-22,71,30
2018-04-29,74,35
2018-05-06,66,34
2018-05-13,67,28
2018-05-20,77,35
2018-05-27,65,33
2018-06-03,84,35
2018-06-10,69,36
2018-06-17,56,32
2018-06-24,49,35
2018-07-01,48,37
2018-07-08,46,35
2018-07-15,50,39
2018-07-22,49,34
2018-07-29,46,32
2018-08-05,43,33
2018-08-12,44,43
2018-08-19,46,44
2018-08-26,45,51
2018-09-02,49,53
2018-09-09,47,52
2018-09-16,49,53
2018-09-23,64,52
2018-09-30,57,63
2018-10-07,73,57
2018-10-14,62,58
2018-10-21,63,54
2018-10-28,57,59
2018-11-04,63,52
2018-11-11,64,48
2018-11-18,66,44
2018-11-25,68,53
2018-12-02,68,52
2018-12-09,55,63
2018-12-16,52,82
2018-12-23,41,100
2018-12-30,55,59
