Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2013-01-06,7,64
2013-01-13,6,100
2013-01-20,7,49
2013-01-27,6,47
2013-02-03,6,35
2013-02-10,5,41
2013-02-17,6,40
2013-02-24,7,43
2013-03-03,7,39
2013-03-10,6,41
2013-03-17,5,36
2013-03-24,6,39
2013-03-31,6,36
2013-04-07,7,37
2013-04-14,7,35
2013-04-21,6,46
2013-04-28,7,39
2013-05-05,6,41
2013-05-12,7,33
2013-05-19,8,35
2013-05-26,8,27
2013-06-02,6,26
2013-06-09,5,29
2013-06-16,5,28
2013-06-23,4,27
2013-06-30,4,28
2013-07-07,4,34
2013-07-14,4,38
2013-07-21,4,42
2013-07-28,3,42
2013-08-04,3,39
2013-08-11,3,35
2013-08-18,3,47
2013-08-25,3,51
2013-09-01,4,33
2013-09-08,4,39
2013-09-15,4,41
2013-09-22,5,50
2013-09-29,5,41
2013-10-06,5,35
2013-10-13,5,33
2013-10-20,5,47
2013-10-27,6,48
2013-11-03,6,44
2013-11-10,6,34
2013-11-17,6,40
2013-11-24,7,39
2013-12-01,8,41
2013-12-08,7,38
2013-12-15,5,38
2013-12-22,4,38
2013-12-29,5,39
