Category: All categories

Week,Video game: (Portugal)
2006-01-01,70
2006-01-08,66
2006-01-15,72
2006-01-22,56
2006-01-29,61
2006-02-05,60
2006-02-12,56
2006-02-19,60
2006-02-26,67
2006-03-05,67
2006-03-12,59
2006-03-19,69
2006-03-26,74
2006-04-02,69
2006-04-09,70
2006-04-16,60
2006-04-23,59
2006-04-30,66
2006-05-07,58
2006-05-14,58
2006-05-21,55
2006-05-28,58
2006-06-04,59
2006-06-11,78
2006-06-18,64
2006-06-25,66
2006-07-02,73
2006-07-09,75
2006-07-16,76
2006-07-23,79
2006-07-30,88
2006-08-06,77
2006-08-13,90
2006-08-20,81
2006-08-27,75
2006-09-03,76
2006-09-10,69
2006-09-17,69
2006-09-24,67
2006-10-01,70
2006-10-08,69
2006-10-15,62
2006-10-22,63
2006-10-29,71
2006-11-05,68
2006-11-12,65
2006-11-19,71
2006-11-26,67
2006-12-03,81
2006-12-10,72
2006-12-17,90
2006-12-24,93
2006-12-31,79
2007-01-07,66
2007-01-14,67
2007-01-21,65
2007-01-28,66
2007-02-04,61
2007-02-11,62
2007-02-18,79
2007-02-25,60
2007-03-04,61
2007-03-11,56
2007-03-18,69
2007-03-25,75
2007-04-01,78
2007-04-08,65
2007-04-15,53
2007-04-22,67
2007-04-29,63
2007-05-06,57
2007-05-13,58
2007-05-20,66
2007-05-27,61
2007-06-03,64
2007-06-10,64
2007-06-17,74
2007-06-24,72
2007-07-01,71
2007-07-08,75
2007-07-15,73
2007-07-22,76
2007-07-29,71
2007-08-05,73
2007-08-12,86
2007-08-19,84
2007-08-26,77
2007-09-02,77
2007-09-09,69
2007-09-16,62
2007-09-23,62
2007-09-30,74
2007-10-07,61
2007-10-14,66
2007-10-21,65
2007-10-28,74
2007-11-04,61
2007-11-11,63
2007-11-18,69
2007-11-25,66
2007-12-02,73
2007-12-09,83
2007-12-16,92
2007-12-23,100
2007-12-30,78
