Category: All categories

Week,Fur: (Portugal)
2013-01-06,21
2013-01-13,30
2013-01-20,48
2013-01-27,28
2013-02-03,45
2013-02-10,56
2013-02-17,83
2013-02-24,42
2013-03-03,45
2013-03-10,54
2013-03-17,49
2013-03-24,48
2013-03-31,42
2013-04-07,35
2013-04-14,28
2013-04-21,31
2013-04-28,45
2013-05-05,57
2013-05-12,12
2013-05-19,0
2013-05-26,23
2013-06-02,43
2013-06-09,40
2013-06-16,35
2013-06-23,28
2013-06-30,18
2013-07-07,13
2013-07-14,30
2013-07-21,51
2013-07-28,73
2013-08-04,48
2013-08-11,49
2013-08-18,58
2013-08-25,29
2013-09-01,49
2013-09-08,37
2013-09-15,16
2013-09-22,40
2013-09-29,55
2013-10-06,38
2013-10-13,42
2013-10-20,47
2013-10-27,40
2013-11-03,68
2013-11-10,55
2013-11-17,66
2013-11-24,100
2013-12-01,68
2013-12-08,42
2013-12-15,37
2013-12-22,40
2013-12-29,51
