Category: All categories

Week,Television: (Portugal)
2017-01-01,66
2017-01-08,74
2017-01-15,68
2017-01-22,70
2017-01-29,78
2017-02-05,83
2017-02-12,61
2017-02-19,86
2017-02-26,75
2017-03-05,71
2017-03-12,74
2017-03-19,53
2017-03-26,93
2017-04-02,64
2017-04-09,85
2017-04-16,74
2017-04-23,81
2017-04-30,64
2017-05-07,84
2017-05-14,54
2017-05-21,55
2017-05-28,47
2017-06-04,48
2017-06-11,48
2017-06-18,49
2017-06-25,43
2017-07-02,44
2017-07-09,49
2017-07-16,55
2017-07-23,55
2017-07-30,51
2017-08-06,70
2017-08-13,79
2017-08-20,66
2017-08-27,58
2017-09-03,59
2017-09-10,65
2017-09-17,68
2017-09-24,66
2017-10-01,61
2017-10-08,50
2017-10-15,68
2017-10-22,62
2017-10-29,60
2017-11-05,52
2017-11-12,55
2017-11-19,53
2017-11-26,70
2017-12-03,62
2017-12-10,58
2017-12-17,58
2017-12-24,58
2017-12-31,85
2018-01-07,58
2018-01-14,61
2018-01-21,53
2018-01-28,68
2018-02-04,62
2018-02-11,66
2018-02-18,56
2018-02-25,69
2018-03-04,63
2018-03-11,60
2018-03-18,52
2018-03-25,65
2018-04-01,57
2018-04-08,58
2018-04-15,100
2018-04-22,60
2018-04-29,59
2018-05-06,53
2018-05-13,55
2018-05-20,42
2018-05-27,46
2018-06-03,43
2018-06-10,60
2018-06-17,91
2018-06-24,65
2018-07-01,70
2018-07-08,53
2018-07-15,41
2018-07-22,50
2018-07-29,40
2018-08-05,69
2018-08-12,63
2018-08-19,78
2018-08-26,54
2018-09-02,50
2018-09-09,48
2018-09-16,91
2018-09-23,65
2018-09-30,58
2018-10-07,68
2018-10-14,50
2018-10-21,71
2018-10-28,64
2018-11-04,62
2018-11-11,54
2018-11-18,51
2018-11-25,65
2018-12-02,57
2018-12-09,54
2018-12-16,47
2018-12-23,70
2018-12-30,58
