Category: All categories

Week,Shoes: (Portugal)
2006-01-01,72
2006-01-08,73
2006-01-15,78
2006-01-22,78
2006-01-29,64
2006-02-05,96
2006-02-12,79
2006-02-19,65
2006-02-26,91
2006-03-05,67
2006-03-12,64
2006-03-19,75
2006-03-26,57
2006-04-02,63
2006-04-09,68
2006-04-16,69
2006-04-23,75
2006-04-30,83
2006-05-07,67
2006-05-14,58
2006-05-21,70
2006-05-28,76
2006-06-04,59
2006-06-11,59
2006-06-18,61
2006-06-25,51
2006-07-02,91
2006-07-09,56
2006-07-16,75
2006-07-23,65
2006-07-30,68
2006-08-06,60
2006-08-13,57
2006-08-20,55
2006-08-27,78
2006-09-03,72
2006-09-10,60
2006-09-17,73
2006-09-24,100
2006-10-01,70
2006-10-08,68
2006-10-15,86
2006-10-22,95
2006-10-29,52
2006-11-05,80
2006-11-12,78
2006-11-19,72
2006-11-26,52
2006-12-03,65
2006-12-10,70
2006-12-17,61
2006-12-24,62
2006-12-31,69
