Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2012-01-01,64,73
2012-01-08,74,64
2012-01-15,73,59
2012-01-22,71,59
2012-01-29,60,59
2012-02-05,70,71
2012-02-12,64,58
2012-02-19,56,60
2012-02-26,67,60
2012-03-04,67,66
2012-03-11,73,72
2012-03-18,70,62
2012-03-25,56,53
2012-04-01,46,61
2012-04-08,59,51
2012-04-15,78,64
2012-04-22,65,49
2012-04-29,71,51
2012-05-06,78,57
2012-05-13,84,59
2012-05-20,82,62
2012-05-27,87,61
2012-06-03,72,60
2012-06-10,67,63
2012-06-17,59,68
2012-06-24,63,75
2012-07-01,58,72
2012-07-08,52,64
2012-07-15,45,70
2012-07-22,40,65
2012-07-29,37,63
2012-08-05,36,66
2012-08-12,35,72
2012-08-19,39,76
2012-08-26,40,71
2012-09-02,40,71
2012-09-09,50,71
2012-09-16,57,100
2012-09-23,49,83
2012-09-30,45,74
2012-10-07,50,73
2012-10-14,53,61
2012-10-21,54,67
2012-10-28,55,77
2012-11-04,59,71
2012-11-11,55,69
2012-11-18,57,59
2012-11-25,62,65
2012-12-02,60,63
2012-12-09,58,66
2012-12-16,49,59
2012-12-23,56,77
2012-12-30,62,66
