Category: All categories

Week,Used car: (Portugal)
2017-01-01,96
2017-01-08,87
2017-01-15,88
2017-01-22,96
2017-01-29,91
2017-02-05,82
2017-02-12,83
2017-02-19,93
2017-02-26,88
2017-03-05,74
2017-03-12,89
2017-03-19,81
2017-03-26,79
2017-04-02,83
2017-04-09,72
2017-04-16,93
2017-04-23,90
2017-04-30,92
2017-05-07,75
2017-05-14,95
2017-05-21,85
2017-05-28,77
2017-06-04,85
2017-06-11,93
2017-06-18,82
2017-06-25,86
2017-07-02,99
2017-07-09,88
2017-07-16,80
2017-07-23,100
2017-07-30,100
2017-08-06,97
2017-08-13,91
2017-08-20,81
2017-08-27,85
2017-09-03,84
2017-09-10,80
2017-09-17,89
2017-09-24,84
2017-10-01,81
2017-10-08,88
2017-10-15,81
2017-10-22,78
2017-10-29,88
2017-11-05,92
2017-11-12,90
2017-11-19,94
2017-11-26,84
2017-12-03,77
2017-12-10,83
2017-12-17,75
2017-12-24,96
2017-12-31,84
2018-01-07,99
2018-01-14,98
2018-01-21,97
2018-01-28,95
2018-02-04,95
2018-02-11,88
2018-02-18,92
2018-02-25,86
2018-03-04,89
2018-03-11,94
2018-03-18,75
2018-03-25,89
2018-04-01,80
2018-04-08,86
2018-04-15,76
2018-04-22,74
2018-04-29,79
2018-05-06,76
2018-05-13,65
2018-05-20,77
2018-05-27,85
2018-06-03,78
2018-06-10,78
2018-06-17,64
2018-06-24,65
2018-07-01,70
2018-07-08,66
2018-07-15,87
2018-07-22,77
2018-07-29,78
2018-08-05,85
2018-08-12,91
2018-08-19,80
2018-08-26,95
2018-09-02,75
2018-09-09,80
2018-09-16,83
2018-09-23,91
2018-09-30,81
2018-10-07,86
2018-10-14,77
2018-10-21,80
2018-10-28,79
2018-11-04,74
2018-11-11,84
2018-11-18,71
2018-11-25,67
2018-12-02,66
2018-12-09,69
2018-12-16,72
2018-12-23,93
2018-12-30,78
