Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2013-01-06,54,83
2013-01-13,51,74
2013-01-20,56,78
2013-01-27,50,79
2013-02-03,48,84
2013-02-10,39,80
2013-02-17,49,78
2013-02-24,53,77
2013-03-03,56,80
2013-03-10,46,80
2013-03-17,38,83
2013-03-24,44,79
2013-03-31,48,89
2013-04-07,56,87
2013-04-14,52,85
2013-04-21,48,79
2013-04-28,52,74
2013-05-05,50,75
2013-05-12,56,81
2013-05-19,61,76
2013-05-26,63,83
2013-06-02,51,68
2013-06-09,40,69
2013-06-16,40,70
2013-06-23,34,68
2013-06-30,30,66
2013-07-07,31,71
2013-07-14,35,77
2013-07-21,31,74
2013-07-28,26,77
2013-08-04,25,83
2013-08-11,21,80
2013-08-18,27,85
2013-08-25,27,89
2013-09-01,29,80
2013-09-08,33,85
2013-09-15,34,93
2013-09-22,37,85
2013-09-29,41,81
2013-10-06,41,93
2013-10-13,41,100
2013-10-20,43,88
2013-10-27,45,82
2013-11-03,47,85
2013-11-10,45,93
2013-11-17,47,77
2013-11-24,56,75
2013-12-01,63,72
2013-12-08,56,71
2013-12-15,43,55
2013-12-22,35,64
2013-12-29,41,79
