Category: All categories

Week,Mobile phone: (Portugal)
2016-01-03,81
2016-01-10,73
2016-01-17,72
2016-01-24,71
2016-01-31,69
2016-02-07,72
2016-02-14,70
2016-02-21,78
2016-02-28,69
2016-03-06,69
2016-03-13,69
2016-03-20,73
2016-03-27,77
2016-04-03,69
2016-04-10,71
2016-04-17,68
2016-04-24,67
2016-05-01,68
2016-05-08,72
2016-05-15,70
2016-05-22,71
2016-05-29,68
2016-06-05,69
2016-06-12,72
2016-06-19,69
2016-06-26,73
2016-07-03,73
2016-07-10,84
2016-07-17,100
2016-07-24,91
2016-07-31,92
2016-08-07,80
2016-08-14,83
2016-08-21,84
2016-08-28,81
2016-09-04,78
2016-09-11,76
2016-09-18,75
2016-09-25,75
2016-10-02,75
2016-10-09,69
2016-10-16,74
2016-10-23,71
2016-10-30,78
2016-11-06,65
2016-11-13,70
2016-11-20,76
2016-11-27,78
2016-12-04,76
2016-12-11,76
2016-12-18,79
2016-12-25,94
2017-01-01,78
2017-01-08,67
2017-01-15,64
2017-01-22,65
2017-01-29,66
2017-02-05,65
2017-02-12,59
2017-02-19,64
2017-02-26,63
2017-03-05,62
2017-03-12,60
2017-03-19,59
2017-03-26,60
2017-04-02,57
2017-04-09,57
2017-04-16,59
2017-04-23,58
2017-04-30,56
2017-05-07,58
2017-05-14,58
2017-05-21,56
2017-05-28,61
2017-06-04,59
2017-06-11,61
2017-06-18,58
2017-06-25,69
2017-07-02,63
2017-07-09,60
2017-07-16,65
2017-07-23,69
2017-07-30,71
2017-08-06,69
2017-08-13,74
2017-08-20,76
2017-08-27,69
2017-09-03,68
2017-09-10,70
2017-09-17,64
2017-09-24,64
2017-10-01,65
2017-10-08,60
2017-10-15,58
2017-10-22,62
2017-10-29,67
2017-11-05,70
2017-11-12,65
2017-11-19,69
2017-11-26,65
2017-12-03,73
2017-12-10,73
2017-12-17,73
2017-12-24,81
2017-12-31,69
