Category: All categories

Week,Novel: (Portugal)
2015-01-04,56
2015-01-11,39
2015-01-18,80
2015-01-25,57
2015-02-01,47
2015-02-08,50
2015-02-15,43
2015-02-22,64
2015-03-01,55
2015-03-08,50
2015-03-15,63
2015-03-22,80
2015-03-29,75
2015-04-05,53
2015-04-12,60
2015-04-19,69
2015-04-26,63
2015-05-03,53
2015-05-10,36
2015-05-17,61
2015-05-24,68
2015-05-31,67
2015-06-07,44
2015-06-14,34
2015-06-21,67
2015-06-28,66
2015-07-05,68
2015-07-12,78
2015-07-19,87
2015-07-26,100
2015-08-02,84
2015-08-09,81
2015-08-16,84
2015-08-23,81
2015-08-30,90
2015-09-06,78
2015-09-13,80
2015-09-20,50
2015-09-27,67
2015-10-04,76
2015-10-11,64
2015-10-18,68
2015-10-25,66
2015-11-01,64
2015-11-08,68
2015-11-15,51
2015-11-22,68
2015-11-29,60
2015-12-06,97
2015-12-13,51
2015-12-20,72
2015-12-27,81
