Category: All categories

Week,Furniture: (Portugal)
2015-01-04,82
2015-01-11,87
2015-01-18,94
2015-01-25,92
2015-02-01,89
2015-02-08,87
2015-02-15,93
2015-02-22,82
2015-03-01,84
2015-03-08,86
2015-03-15,89
2015-03-22,85
2015-03-29,83
2015-04-05,78
2015-04-12,88
2015-04-19,89
2015-04-26,87
2015-05-03,87
2015-05-10,85
2015-05-17,87
2015-05-24,82
2015-05-31,75
2015-06-07,79
2015-06-14,78
2015-06-21,74
2015-06-28,66
2015-07-05,86
2015-07-12,92
2015-07-19,86
2015-07-26,83
2015-08-02,84
2015-08-09,87
2015-08-16,86
2015-08-23,90
2015-08-30,95
2015-09-06,96
2015-09-13,96
2015-09-20,90
2015-09-27,85
2015-10-04,90
2015-10-11,95
2015-10-18,100
2015-10-25,92
2015-11-01,85
2015-11-08,78
2015-11-15,88
2015-11-22,82
2015-11-29,78
2015-12-06,78
2015-12-13,70
2015-12-20,59
2015-12-27,87
