Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2006-01-01,65,12
2006-01-08,66,6
2006-01-15,60,8
2006-01-22,52,7
2006-01-29,58,10
2006-02-05,63,15
2006-02-12,44,10
2006-02-19,66,11
2006-02-26,56,0
2006-03-05,55,8
2006-03-12,57,3
2006-03-19,60,8
2006-03-26,51,24
2006-04-02,44,0
2006-04-09,42,12
2006-04-16,62,7
2006-04-23,63,4
2006-04-30,83,11
2006-05-07,92,10
2006-05-14,86,9
2006-05-21,100,7
2006-05-28,75,5
2006-06-04,97,15
2006-06-11,60,10
2006-06-18,41,4
2006-06-25,38,6
2006-07-02,33,18
2006-07-09,33,11
2006-07-16,33,13
2006-07-23,34,6
2006-07-30,28,22
2006-08-06,30,11
2006-08-13,28,15
2006-08-20,24,6
2006-08-27,35,10
2006-09-03,26,15
2006-09-10,28,8
2006-09-17,40,7
2006-09-24,52,15
2006-10-01,61,6
2006-10-08,55,10
2006-10-15,51,6
2006-10-22,62,10
2006-10-29,49,13
2006-11-05,54,16
2006-11-12,45,9
2006-11-19,56,6
2006-11-26,50,8
2006-12-03,47,3
2006-12-10,48,9
2006-12-17,32,6
2006-12-24,29,9
2006-12-31,39,12
