Category: All categories

Week,Natural gas: (Portugal)
2015-01-04,100
2015-01-11,82
2015-01-18,67
2015-01-25,58
2015-02-01,59
2015-02-08,54
2015-02-15,38
2015-02-22,56
2015-03-01,53
2015-03-08,50
2015-03-15,51
2015-03-22,39
2015-03-29,37
2015-04-05,35
2015-04-12,41
2015-04-19,34
2015-04-26,43
2015-05-03,44
2015-05-10,43
2015-05-17,33
2015-05-24,38
2015-05-31,55
2015-06-07,30
2015-06-14,54
2015-06-21,29
2015-06-28,39
2015-07-05,36
2015-07-12,32
2015-07-19,39
2015-07-26,33
2015-08-02,37
2015-08-09,31
2015-08-16,28
2015-08-23,37
2015-08-30,38
2015-09-06,42
2015-09-13,43
2015-09-20,48
2015-09-27,42
2015-10-04,41
2015-10-11,61
2015-10-18,29
2015-10-25,47
2015-11-01,61
2015-11-08,40
2015-11-15,29
2015-11-22,59
2015-11-29,64
2015-12-06,64
2015-12-13,59
2015-12-20,46
2015-12-27,37
