Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2012-01-01,13,77
2012-01-08,15,73
2012-01-15,15,70
2012-01-22,14,70
2012-01-29,12,68
2012-02-05,14,68
2012-02-12,13,66
2012-02-19,11,89
2012-02-26,14,66
2012-03-04,14,67
2012-03-11,15,67
2012-03-18,14,74
2012-03-25,11,90
2012-04-01,9,92
2012-04-08,12,67
2012-04-15,16,62
2012-04-22,13,70
2012-04-29,14,73
2012-05-06,16,67
2012-05-13,17,63
2012-05-20,17,62
2012-05-27,18,65
2012-06-03,15,74
2012-06-10,14,69
2012-06-17,12,85
2012-06-24,13,84
2012-07-01,12,85
2012-07-08,11,82
2012-07-15,9,84
2012-07-22,8,85
2012-07-29,8,88
2012-08-05,7,88
2012-08-12,7,95
2012-08-19,8,85
2012-08-26,8,88
2012-09-02,8,83
2012-09-09,10,80
2012-09-16,12,59
2012-09-23,10,62
2012-09-30,9,68
2012-10-07,10,63
2012-10-14,11,59
2012-10-21,11,58
2012-10-28,11,72
2012-11-04,12,62
2012-11-11,11,64
2012-11-18,12,61
2012-11-25,13,62
2012-12-02,12,64
2012-12-09,12,74
2012-12-16,10,89
2012-12-23,11,100
2012-12-30,13,83
