Category: All categories

Week,ebook: (Portugal)
2016-01-03,87
2016-01-10,75
2016-01-17,74
2016-01-24,71
2016-01-31,72
2016-02-07,91
2016-02-14,85
2016-02-21,100
2016-02-28,77
2016-03-06,87
2016-03-13,63
2016-03-20,80
2016-03-27,69
2016-04-03,88
2016-04-10,76
2016-04-17,83
2016-04-24,76
2016-05-01,66
2016-05-08,69
2016-05-15,92
2016-05-22,68
2016-05-29,54
2016-06-05,67
2016-06-12,49
2016-06-19,59
2016-06-26,67
2016-07-03,64
2016-07-10,55
2016-07-17,55
2016-07-24,78
2016-07-31,80
2016-08-07,79
2016-08-14,57
2016-08-21,81
2016-08-28,61
2016-09-04,66
2016-09-11,63
2016-09-18,86
2016-09-25,80
2016-10-02,72
2016-10-09,72
2016-10-16,65
2016-10-23,72
2016-10-30,84
2016-11-06,77
2016-11-13,63
2016-11-20,63
2016-11-27,63
2016-12-04,67
2016-12-11,60
2016-12-18,67
2016-12-25,84
