Category: All categories

Week,Jam: (Portugal)
2015-01-04,25
2015-01-11,33
2015-01-18,28
2015-01-25,28
2015-02-01,29
2015-02-08,26
2015-02-15,32
2015-02-22,28
2015-03-01,27
2015-03-08,33
2015-03-15,35
2015-03-22,34
2015-03-29,47
2015-04-05,26
2015-04-12,29
2015-04-19,23
2015-04-26,36
2015-05-03,22
2015-05-10,23
2015-05-17,27
2015-05-24,26
2015-05-31,28
2015-06-07,33
2015-06-14,36
2015-06-21,33
2015-06-28,33
2015-07-05,35
2015-07-12,32
2015-07-19,35
2015-07-26,35
2015-08-02,42
2015-08-09,41
2015-08-16,51
2015-08-23,51
2015-08-30,53
2015-09-06,41
2015-09-13,41
2015-09-20,40
2015-09-27,42
2015-10-04,44
2015-10-11,39
2015-10-18,42
2015-10-25,48
2015-11-01,42
2015-11-08,37
2015-11-15,30
2015-11-22,34
2015-11-29,36
2015-12-06,45
2015-12-13,52
2015-12-20,100
2015-12-27,52
