Category: All categories

Week,Video game: (Portugal)
2014-01-05,73
2014-01-12,72
2014-01-19,75
2014-01-26,74
2014-02-02,71
2014-02-09,75
2014-02-16,74
2014-02-23,72
2014-03-02,82
2014-03-09,61
2014-03-16,62
2014-03-23,63
2014-03-30,70
2014-04-06,81
2014-04-13,82
2014-04-20,68
2014-04-27,62
2014-05-04,52
2014-05-11,58
2014-05-18,58
2014-05-25,60
2014-06-01,67
2014-06-08,74
2014-06-15,72
2014-06-22,75
2014-06-29,71
2014-07-06,75
2014-07-13,73
2014-07-20,73
2014-07-27,75
2014-08-03,76
2014-08-10,78
2014-08-17,77
2014-08-24,74
2014-08-31,73
2014-09-07,70
2014-09-14,61
2014-09-21,60
2014-09-28,61
2014-10-05,62
2014-10-12,61
2014-10-19,58
2014-10-26,53
2014-11-02,64
2014-11-09,59
2014-11-16,65
2014-11-23,63
2014-11-30,65
2014-12-07,70
2014-12-14,74
2014-12-21,100
2014-12-28,83
2015-01-04,58
2015-01-11,62
2015-01-18,55
2015-01-25,59
2015-02-01,55
2015-02-08,59
2015-02-15,66
2015-02-22,50
2015-03-01,52
2015-03-08,48
2015-03-15,51
2015-03-22,66
2015-03-29,68
2015-04-05,55
2015-04-12,48
2015-04-19,50
2015-04-26,56
2015-05-03,48
2015-05-10,48
2015-05-17,50
2015-05-24,48
2015-05-31,48
2015-06-07,55
2015-06-14,63
2015-06-21,61
2015-06-28,62
2015-07-05,62
2015-07-12,60
2015-07-19,59
2015-07-26,59
2015-08-02,62
2015-08-09,60
2015-08-16,59
2015-08-23,65
2015-08-30,64
2015-09-06,63
2015-09-13,58
2015-09-20,48
2015-09-27,50
2015-10-04,47
2015-10-11,48
2015-10-18,46
2015-10-25,48
2015-11-01,52
2015-11-08,50
2015-11-15,49
2015-11-22,50
2015-11-29,51
2015-12-06,58
2015-12-13,61
2015-12-20,84
2015-12-27,69
