Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2014-01-05,84,56
2014-01-12,80,60
2014-01-19,77,60
2014-01-26,81,64
2014-02-02,71,65
2014-02-09,79,61
2014-02-16,71,69
2014-02-23,73,52
2014-03-02,69,63
2014-03-09,72,54
2014-03-16,79,56
2014-03-23,85,56
2014-03-30,76,63
2014-04-06,60,62
2014-04-13,59,58
2014-04-20,67,55
2014-04-27,66,54
2014-05-04,77,56
2014-05-11,86,61
2014-05-18,99,64
2014-05-25,100,58
2014-06-01,94,61
2014-06-08,88,55
2014-06-15,83,57
2014-06-22,79,60
2014-06-29,67,61
2014-07-06,68,55
2014-07-13,60,65
2014-07-20,51,58
2014-07-27,49,61
2014-08-03,47,62
2014-08-10,43,67
2014-08-17,51,66
2014-08-24,46,67
2014-08-31,62,66
2014-09-07,54,60
2014-09-14,67,64
2014-09-21,65,57
2014-09-28,69,62
2014-10-05,78,61
2014-10-12,70,66
2014-10-19,64,70
2014-10-26,72,65
2014-11-02,71,66
2014-11-09,78,64
2014-11-16,66,70
2014-11-23,64,67
2014-11-30,63,56
2014-12-07,70,63
2014-12-14,63,46
2014-12-21,58,43
2014-12-28,73,57
