Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2015-01-04,55,71
2015-01-11,63,70
2015-01-18,58,66
2015-01-25,53,71
2015-02-01,47,74
2015-02-08,48,70
2015-02-15,44,77
2015-02-22,58,76
2015-03-01,52,79
2015-03-08,52,91
2015-03-15,53,79
2015-03-22,43,83
2015-03-29,36,97
2015-04-05,46,79
2015-04-12,51,81
2015-04-19,49,84
2015-04-26,46,93
2015-05-03,48,82
2015-05-10,52,92
2015-05-17,49,88
2015-05-24,53,90
2015-05-31,44,85
2015-06-07,47,80
2015-06-14,41,72
2015-06-21,35,74
2015-06-28,35,77
2015-07-05,32,73
2015-07-12,33,73
2015-07-19,30,72
2015-07-26,35,77
2015-08-02,25,70
2015-08-09,27,67
2015-08-16,28,74
2015-08-23,28,78
2015-08-30,34,70
2015-09-06,34,76
2015-09-13,31,86
2015-09-20,36,79
2015-09-27,41,84
2015-10-04,39,99
2015-10-11,42,97
2015-10-18,40,100
2015-10-25,43,87
2015-11-01,43,92
2015-11-08,39,82
2015-11-15,39,80
2015-11-22,45,78
2015-11-29,44,73
2015-12-06,40,78
2015-12-13,41,78
2015-12-20,25,80
2015-12-27,34,82
