Category: All categories

Week,Real Estate: (Portugal)
2016-01-03,91
2016-01-10,89
2016-01-17,89
2016-01-24,94
2016-01-31,96
2016-02-07,95
2016-02-14,93
2016-02-21,100
2016-02-28,88
2016-03-06,84
2016-03-13,80
2016-03-20,72
2016-03-27,85
2016-04-03,89
2016-04-10,91
2016-04-17,95
2016-04-24,80
2016-05-01,81
2016-05-08,87
2016-05-15,82
2016-05-22,84
2016-05-29,82
2016-06-05,71
2016-06-12,73
2016-06-19,67
2016-06-26,67
2016-07-03,76
2016-07-10,77
2016-07-17,89
2016-07-24,78
2016-07-31,83
2016-08-07,78
2016-08-14,77
2016-08-21,87
2016-08-28,88
2016-09-04,86
2016-09-11,86
2016-09-18,88
2016-09-25,91
2016-10-02,97
2016-10-09,88
2016-10-16,76
2016-10-23,74
2016-10-30,77
2016-11-06,70
2016-11-13,76
2016-11-20,84
2016-11-27,72
2016-12-04,69
2016-12-11,68
2016-12-18,58
2016-12-25,67
