Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2012-01-01,59,81
2012-01-08,69,76
2012-01-15,68,76
2012-01-22,66,70
2012-01-29,56,76
2012-02-05,65,67
2012-02-12,59,79
2012-02-19,52,86
2012-02-26,62,78
2012-03-04,62,91
2012-03-11,68,95
2012-03-18,65,96
2012-03-25,52,90
2012-04-01,43,92
2012-04-08,55,88
2012-04-15,72,89
2012-04-22,61,86
2012-04-29,66,82
2012-05-06,73,89
2012-05-13,79,90
2012-05-20,77,88
2012-05-27,81,93
2012-06-03,67,97
2012-06-10,63,83
2012-06-17,55,81
2012-06-24,58,75
2012-07-01,54,78
2012-07-08,48,81
2012-07-15,41,73
2012-07-22,38,75
2012-07-29,34,78
2012-08-05,34,79
2012-08-12,33,72
2012-08-19,36,72
2012-08-26,38,73
2012-09-02,37,80
2012-09-09,47,82
2012-09-16,53,80
2012-09-23,45,100
2012-09-30,42,87
2012-10-07,47,85
2012-10-14,50,93
2012-10-21,50,90
2012-10-28,51,81
2012-11-04,54,77
2012-11-11,51,70
2012-11-18,53,70
2012-11-25,57,80
2012-12-02,56,79
2012-12-09,54,76
2012-12-16,45,67
2012-12-23,52,79
2012-12-30,58,75
