Category: All categories

Week,Dessert: (Portugal)
2014-01-05,45
2014-01-12,67
2014-01-19,57
2014-01-26,48
2014-02-02,55
2014-02-09,61
2014-02-16,57
2014-02-23,53
2014-03-02,51
2014-03-09,60
2014-03-16,58
2014-03-23,55
2014-03-30,58
2014-04-06,57
2014-04-13,89
2014-04-20,56
2014-04-27,63
2014-05-04,56
2014-05-11,61
2014-05-18,60
2014-05-25,48
2014-06-01,52
2014-06-08,54
2014-06-15,64
2014-06-22,67
2014-06-29,61
2014-07-06,61
2014-07-13,52
2014-07-20,58
2014-07-27,56
2014-08-03,64
2014-08-10,60
2014-08-17,66
2014-08-24,54
2014-08-31,46
2014-09-07,52
2014-09-14,44
2014-09-21,50
2014-09-28,52
2014-10-05,47
2014-10-12,52
2014-10-19,51
2014-10-26,52
2014-11-02,39
2014-11-09,58
2014-11-16,46
2014-11-23,48
2014-11-30,50
2014-12-07,71
2014-12-14,70
2014-12-21,100
2014-12-28,90
