Category: All categories

Week,ebook: (Portugal)
2014-01-05,90
2014-01-12,100
2014-01-19,89
2014-01-26,85
2014-02-02,82
2014-02-09,79
2014-02-16,91
2014-02-23,83
2014-03-02,81
2014-03-09,77
2014-03-16,89
2014-03-23,82
2014-03-30,68
2014-04-06,79
2014-04-13,71
2014-04-20,70
2014-04-27,75
2014-05-04,73
2014-05-11,80
2014-05-18,70
2014-05-25,69
2014-06-01,57
2014-06-08,65
2014-06-15,54
2014-06-22,60
2014-06-29,39
2014-07-06,87
2014-07-13,64
2014-07-20,69
2014-07-27,77
2014-08-03,80
2014-08-10,76
2014-08-17,65
2014-08-24,56
2014-08-31,61
2014-09-07,74
2014-09-14,68
2014-09-21,84
2014-09-28,73
2014-10-05,81
2014-10-12,63
2014-10-19,83
2014-10-26,68
2014-11-02,69
2014-11-09,52
2014-11-16,60
2014-11-23,74
2014-11-30,46
2014-12-07,67
2014-12-14,60
2014-12-21,66
2014-12-28,70
2015-01-04,78
2015-01-11,60
2015-01-18,68
2015-01-25,61
2015-02-01,59
2015-02-08,59
2015-02-15,52
2015-02-22,51
2015-03-01,66
2015-03-08,67
2015-03-15,57
2015-03-22,55
2015-03-29,60
2015-04-05,46
2015-04-12,61
2015-04-19,58
2015-04-26,42
2015-05-03,42
2015-05-10,59
2015-05-17,47
2015-05-24,66
2015-05-31,42
2015-06-07,50
2015-06-14,43
2015-06-21,59
2015-06-28,43
2015-07-05,39
2015-07-12,62
2015-07-19,45
2015-07-26,49
2015-08-02,38
2015-08-09,51
2015-08-16,55
2015-08-23,59
2015-08-30,47
2015-09-06,64
2015-09-13,51
2015-09-20,57
2015-09-27,64
2015-10-04,50
2015-10-11,56
2015-10-18,56
2015-10-25,60
2015-11-01,47
2015-11-08,44
2015-11-15,51
2015-11-22,39
2015-11-29,51
2015-12-06,40
2015-12-13,53
2015-12-20,58
2015-12-27,60
