Category: All categories

Week,Coffee: (Portugal)
2016-01-03,50
2016-01-10,47
2016-01-17,46
2016-01-24,55
2016-01-31,49
2016-02-07,48
2016-02-14,52
2016-02-21,58
2016-02-28,52
2016-03-06,52
2016-03-13,48
2016-03-20,46
2016-03-27,48
2016-04-03,51
2016-04-10,55
2016-04-17,51
2016-04-24,50
2016-05-01,53
2016-05-08,52
2016-05-15,46
2016-05-22,53
2016-05-29,45
2016-06-05,45
2016-06-12,40
2016-06-19,49
2016-06-26,45
2016-07-03,47
2016-07-10,45
2016-07-17,47
2016-07-24,51
2016-07-31,50
2016-08-07,45
2016-08-14,47
2016-08-21,51
2016-08-28,49
2016-09-04,52
2016-09-11,54
2016-09-18,45
2016-09-25,59
2016-10-02,52
2016-10-09,58
2016-10-16,64
2016-10-23,65
2016-10-30,61
2016-11-06,58
2016-11-13,60
2016-11-20,66
2016-11-27,65
2016-12-04,89
2016-12-11,82
2016-12-18,84
2016-12-25,90
2017-01-01,85
2017-01-08,87
2017-01-15,86
2017-01-22,85
2017-01-29,97
2017-02-05,87
2017-02-12,88
2017-02-19,92
2017-02-26,85
2017-03-05,90
2017-03-12,84
2017-03-19,88
2017-03-26,90
2017-04-02,79
2017-04-09,87
2017-04-16,88
2017-04-23,85
2017-04-30,85
2017-05-07,85
2017-05-14,88
2017-05-21,81
2017-05-28,81
2017-06-04,82
2017-06-11,82
2017-06-18,78
2017-06-25,84
2017-07-02,90
2017-07-09,86
2017-07-16,87
2017-07-23,92
2017-07-30,91
2017-08-06,86
2017-08-13,89
2017-08-20,98
2017-08-27,92
2017-09-03,94
2017-09-10,89
2017-09-17,92
2017-09-24,91
2017-10-01,88
2017-10-08,93
2017-10-15,91
2017-10-22,89
2017-10-29,89
2017-11-05,100
2017-11-12,98
2017-11-19,92
2017-11-26,96
2017-12-03,93
2017-12-10,91
2017-12-17,94
2017-12-24,100
2017-12-31,88
