Category: All categories

Week,Fur: (Portugal)
2006-01-01,0
2006-01-08,65
2006-01-15,0
2006-01-22,0
2006-01-29,100
2006-02-05,33
2006-02-12,0
2006-02-19,0
2006-02-26,0
2006-03-05,0
2006-03-12,25
2006-03-19,0
2006-03-26,30
2006-04-02,0
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,41
2006-05-07,0
2006-05-14,0
2006-05-21,24
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,0
2006-06-25,55
2006-07-02,0
2006-07-09,0
2006-07-16,0
2006-07-23,0
2006-07-30,38
2006-08-06,33
2006-08-13,32
2006-08-20,0
2006-08-27,0
2006-09-03,27
2006-09-10,16
2006-09-17,0
2006-09-24,0
2006-10-01,59
2006-10-08,31
2006-10-15,52
2006-10-22,0
2006-10-29,40
2006-11-05,18
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,33
2006-12-10,0
2006-12-17,40
2006-12-24,0
2006-12-31,27
