Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2013-01-06,15,62
2013-01-13,14,67
2013-01-20,15,63
2013-01-27,14,62
2013-02-03,13,60
2013-02-10,11,76
2013-02-17,13,60
2013-02-24,15,57
2013-03-03,15,60
2013-03-10,13,62
2013-03-17,10,73
2013-03-24,12,79
2013-03-31,13,64
2013-04-07,15,57
2013-04-14,14,59
2013-04-21,13,62
2013-04-28,14,61
2013-05-05,14,55
2013-05-12,15,57
2013-05-19,17,54
2013-05-26,17,50
2013-06-02,14,56
2013-06-09,11,71
2013-06-16,11,66
2013-06-23,9,68
2013-06-30,8,65
2013-07-07,8,68
2013-07-14,9,68
2013-07-21,8,68
2013-07-28,7,70
2013-08-04,7,69
2013-08-11,6,73
2013-08-18,7,72
2013-08-25,7,67
2013-09-01,8,69
2013-09-08,9,67
2013-09-15,9,53
2013-09-22,10,57
2013-09-29,11,55
2013-10-06,11,56
2013-10-13,11,54
2013-10-20,12,53
2013-10-27,12,51
2013-11-03,13,57
2013-11-10,12,55
2013-11-17,13,54
2013-11-24,15,54
2013-12-01,17,56
2013-12-08,15,59
2013-12-15,12,73
2013-12-22,10,100
2013-12-29,11,76
