Category: All categories

Week,Furniture: (Portugal)
2015-01-04,64
2015-01-11,69
2015-01-18,71
2015-01-25,71
2015-02-01,69
2015-02-08,67
2015-02-15,73
2015-02-22,64
2015-03-01,66
2015-03-08,67
2015-03-15,68
2015-03-22,67
2015-03-29,64
2015-04-05,60
2015-04-12,66
2015-04-19,70
2015-04-26,70
2015-05-03,69
2015-05-10,64
2015-05-17,69
2015-05-24,63
2015-05-31,58
2015-06-07,62
2015-06-14,61
2015-06-21,57
2015-06-28,52
2015-07-05,66
2015-07-12,72
2015-07-19,67
2015-07-26,63
2015-08-02,65
2015-08-09,68
2015-08-16,67
2015-08-23,72
2015-08-30,74
2015-09-06,74
2015-09-13,72
2015-09-20,68
2015-09-27,64
2015-10-04,70
2015-10-11,72
2015-10-18,75
2015-10-25,70
2015-11-01,64
2015-11-08,59
2015-11-15,69
2015-11-22,63
2015-11-29,62
2015-12-06,63
2015-12-13,55
2015-12-20,49
2015-12-27,66
2016-01-03,83
2016-01-10,75
2016-01-17,74
2016-01-24,75
2016-01-31,73
2016-02-07,82
2016-02-14,76
2016-02-21,75
2016-02-28,76
2016-03-06,79
2016-03-13,71
2016-03-20,75
2016-03-27,80
2016-04-03,73
2016-04-10,82
2016-04-17,80
2016-04-24,80
2016-05-01,73
2016-05-08,82
2016-05-15,72
2016-05-22,76
2016-05-29,70
2016-06-05,67
2016-06-12,72
2016-06-19,64
2016-06-26,60
2016-07-03,63
2016-07-10,62
2016-07-17,66
2016-07-24,64
2016-07-31,64
2016-08-07,62
2016-08-14,74
2016-08-21,75
2016-08-28,81
2016-09-04,78
2016-09-11,74
2016-09-18,81
2016-09-25,79
2016-10-02,81
2016-10-09,76
2016-10-16,77
2016-10-23,75
2016-10-30,76
2016-11-06,73
2016-11-13,72
2016-11-20,77
2016-11-27,78
2016-12-04,100
2016-12-11,86
2016-12-18,68
2016-12-25,87
