Category: All categories

Week,Automotive industry: (Portugal)
2009-01-04,25
2009-01-11,27
2009-01-18,24
2009-01-25,36
2009-02-01,54
2009-02-08,25
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,56
2009-03-22,27
2009-03-29,21
2009-04-05,76
2009-04-12,49
2009-04-19,65
2009-04-26,63
2009-05-03,0
2009-05-10,58
2009-05-17,26
2009-05-24,0
2009-05-31,39
2009-06-07,0
2009-06-14,38
2009-06-21,0
2009-06-28,0
2009-07-05,38
2009-07-12,57
2009-07-19,78
2009-07-26,26
2009-08-02,48
2009-08-09,33
2009-08-16,0
2009-08-23,0
2009-08-30,25
2009-09-06,64
2009-09-13,36
2009-09-20,49
2009-09-27,0
2009-10-04,54
2009-10-11,18
2009-10-18,46
2009-10-25,36
2009-11-01,30
2009-11-08,34
2009-11-15,0
2009-11-22,68
2009-11-29,40
2009-12-06,36
2009-12-13,39
2009-12-20,0
2009-12-27,0
2010-01-03,38
2010-01-10,0
2010-01-17,77
2010-01-24,64
2010-01-31,32
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,36
2010-03-07,14
2010-03-14,0
2010-03-21,38
2010-03-28,47
2010-04-04,26
2010-04-11,33
2010-04-18,0
2010-04-25,0
2010-05-02,100
2010-05-09,38
2010-05-16,48
2010-05-23,17
2010-05-30,0
2010-06-06,22
2010-06-13,88
2010-06-20,29
2010-06-27,30
2010-07-04,28
2010-07-11,99
2010-07-18,0
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,43
2010-08-29,47
2010-09-05,31
2010-09-12,76
2010-09-19,33
2010-09-26,50
2010-10-03,0
2010-10-10,49
2010-10-17,78
2010-10-24,49
2010-10-31,36
2010-11-07,16
2010-11-14,48
2010-11-21,19
2010-11-28,0
2010-12-05,0
2010-12-12,56
2010-12-19,0
2010-12-26,0
