Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2018-01-07,20,78
2018-01-14,22,81
2018-01-21,21,77
2018-01-28,20,72
2018-02-04,18,74
2018-02-11,18,78
2018-02-18,20,75
2018-02-25,20,79
2018-03-04,20,76
2018-03-11,24,77
2018-03-18,21,78
2018-03-25,21,78
2018-04-01,21,74
2018-04-08,20,72
2018-04-15,22,70
2018-04-22,21,71
2018-04-29,23,70
2018-05-06,20,73
2018-05-13,20,68
2018-05-20,23,64
2018-05-27,19,71
2018-06-03,25,77
2018-06-10,21,73
2018-06-17,17,72
2018-06-24,15,76
2018-07-01,14,76
2018-07-08,14,82
2018-07-15,15,81
2018-07-22,15,83
2018-07-29,14,84
2018-08-05,13,83
2018-08-12,13,83
2018-08-19,14,79
2018-08-26,13,85
2018-09-02,15,82
2018-09-09,14,86
2018-09-16,15,84
2018-09-23,19,88
2018-09-30,17,83
2018-10-07,22,76
2018-10-14,18,80
2018-10-21,19,83
2018-10-28,17,81
2018-11-04,19,84
2018-11-11,19,81
2018-11-18,20,93
2018-11-25,20,85
2018-12-02,20,86
2018-12-09,17,88
2018-12-16,16,93
2018-12-23,12,100
2018-12-30,16,85
