Category: All categories

Week,Travel agency: (Portugal)
2011-01-02,82
2011-01-09,84
2011-01-16,99
2011-01-23,86
2011-01-30,65
2011-02-06,77
2011-02-13,82
2011-02-20,87
2011-02-27,68
2011-03-06,67
2011-03-13,68
2011-03-20,78
2011-03-27,72
2011-04-03,68
2011-04-10,74
2011-04-17,55
2011-04-24,77
2011-05-01,94
2011-05-08,73
2011-05-15,77
2011-05-22,91
2011-05-29,90
2011-06-05,93
2011-06-12,83
2011-06-19,100
2011-06-26,99
2011-07-03,68
2011-07-10,85
2011-07-17,89
2011-07-24,95
2011-07-31,93
2011-08-07,67
2011-08-14,70
2011-08-21,78
2011-08-28,53
2011-09-04,51
2011-09-11,57
2011-09-18,58
2011-09-25,52
2011-10-02,33
2011-10-09,54
2011-10-16,43
2011-10-23,37
2011-10-30,34
2011-11-06,33
2011-11-13,47
2011-11-20,40
2011-11-27,43
2011-12-04,45
2011-12-11,36
2011-12-18,29
2011-12-25,41
2012-01-01,65
2012-01-08,44
2012-01-15,77
2012-01-22,53
2012-01-29,40
2012-02-05,39
2012-02-12,44
2012-02-19,50
2012-02-26,52
2012-03-04,66
2012-03-11,64
2012-03-18,65
2012-03-25,59
2012-04-01,63
2012-04-08,67
2012-04-15,60
2012-04-22,65
2012-04-29,45
2012-05-06,61
2012-05-13,63
2012-05-20,64
2012-05-27,67
2012-06-03,69
2012-06-10,77
2012-06-17,60
2012-06-24,84
2012-07-01,98
2012-07-08,79
2012-07-15,84
2012-07-22,64
2012-07-29,78
2012-08-05,81
2012-08-12,87
2012-08-19,63
2012-08-26,47
2012-09-02,53
2012-09-09,42
2012-09-16,42
2012-09-23,39
2012-09-30,31
2012-10-07,27
2012-10-14,37
2012-10-21,40
2012-10-28,33
2012-11-04,35
2012-11-11,28
2012-11-18,26
2012-11-25,39
2012-12-02,27
2012-12-09,31
2012-12-16,19
2012-12-23,34
2012-12-30,46
