Category: All categories

Week,Clothing: (Portugal)
2015-01-04,78
2015-01-11,86
2015-01-18,88
2015-01-25,83
2015-02-01,86
2015-02-08,88
2015-02-15,87
2015-02-22,86
2015-03-01,86
2015-03-08,81
2015-03-15,84
2015-03-22,73
2015-03-29,88
2015-04-05,80
2015-04-12,81
2015-04-19,80
2015-04-26,83
2015-05-03,78
2015-05-10,83
2015-05-17,74
2015-05-24,82
2015-05-31,71
2015-06-07,71
2015-06-14,80
2015-06-21,71
2015-06-28,70
2015-07-05,78
2015-07-12,78
2015-07-19,73
2015-07-26,71
2015-08-02,73
2015-08-09,72
2015-08-16,73
2015-08-23,81
2015-08-30,85
2015-09-06,88
2015-09-13,85
2015-09-20,82
2015-09-27,76
2015-10-04,82
2015-10-11,91
2015-10-18,79
2015-10-25,92
2015-11-01,87
2015-11-08,72
2015-11-15,85
2015-11-22,87
2015-11-29,89
2015-12-06,88
2015-12-13,84
2015-12-20,74
2015-12-27,100
