Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2011-01-02,64,79
2011-01-09,82,68
2011-01-16,79,68
2011-01-23,76,64
2011-01-30,73,70
2011-02-06,79,67
2011-02-13,70,73
2011-02-20,82,65
2011-02-27,75,69
2011-03-06,66,61
2011-03-13,86,63
2011-03-20,79,63
2011-03-27,75,56
2011-04-03,69,55
2011-04-10,50,55
2011-04-17,58,66
2011-04-24,72,59
2011-05-01,81,60
2011-05-08,79,47
2011-05-15,91,54
2011-05-22,100,49
2011-05-29,95,47
2011-06-05,88,59
2011-06-12,96,51
2011-06-19,79,62
2011-06-26,99,54
2011-07-03,81,54
2011-07-10,79,53
2011-07-17,91,55
2011-07-24,77,56
2011-07-31,55,58
2011-08-07,46,52
2011-08-14,42,60
2011-08-21,51,72
2011-08-28,43,70
2011-09-04,51,60
2011-09-11,48,64
2011-09-18,57,66
2011-09-25,60,59
2011-10-02,64,63
2011-10-09,60,61
2011-10-16,72,57
2011-10-23,63,52
2011-10-30,58,62
2011-11-06,67,55
2011-11-13,70,54
2011-11-20,64,59
2011-11-27,61,51
2011-12-04,58,54
2011-12-11,66,48
2011-12-18,40,44
2011-12-25,51,52
