Category: All categories

Week,Food: (Portugal)
2017-01-01,75
2017-01-08,80
2017-01-15,75
2017-01-22,73
2017-01-29,79
2017-02-05,84
2017-02-12,79
2017-02-19,75
2017-02-26,79
2017-03-05,84
2017-03-12,77
2017-03-19,88
2017-03-26,83
2017-04-02,76
2017-04-09,69
2017-04-16,73
2017-04-23,74
2017-04-30,73
2017-05-07,69
2017-05-14,86
2017-05-21,80
2017-05-28,95
2017-06-04,78
2017-06-11,74
2017-06-18,71
2017-06-25,89
2017-07-02,75
2017-07-09,74
2017-07-16,70
2017-07-23,77
2017-07-30,71
2017-08-06,73
2017-08-13,72
2017-08-20,70
2017-08-27,74
2017-09-03,68
2017-09-10,82
2017-09-17,80
2017-09-24,77
2017-10-01,82
2017-10-08,100
2017-10-15,96
2017-10-22,83
2017-10-29,81
2017-11-05,84
2017-11-12,75
2017-11-19,77
2017-11-26,76
2017-12-03,74
2017-12-10,68
2017-12-17,67
2017-12-24,67
2017-12-31,72
