Category: All categories

Week,Novel: (Portugal)
2010-01-03,76
2010-01-10,100
2010-01-17,61
2010-01-24,30
2010-01-31,36
2010-02-07,64
2010-02-14,47
2010-02-21,62
2010-02-28,80
2010-03-07,69
2010-03-14,39
2010-03-21,56
2010-03-28,0
2010-04-04,52
2010-04-11,63
2010-04-18,80
2010-04-25,55
2010-05-02,50
2010-05-09,53
2010-05-16,20
2010-05-23,34
2010-05-30,60
2010-06-06,80
2010-06-13,66
2010-06-20,43
2010-06-27,46
2010-07-04,71
2010-07-11,0
2010-07-18,48
2010-07-25,41
2010-08-01,50
2010-08-08,33
2010-08-15,100
2010-08-22,54
2010-08-29,82
2010-09-05,42
2010-09-12,31
2010-09-19,97
2010-09-26,42
2010-10-03,96
2010-10-10,36
2010-10-17,93
2010-10-24,20
2010-10-31,0
2010-11-07,0
2010-11-14,67
2010-11-21,83
2010-11-28,79
2010-12-05,91
2010-12-12,50
2010-12-19,62
2010-12-26,72
