Category: All categories

Week,Travel agency: (Portugal)
2010-01-03,47
2010-01-10,43
2010-01-17,59
2010-01-24,56
2010-01-31,52
2010-02-07,42
2010-02-14,59
2010-02-21,53
2010-02-28,47
2010-03-07,54
2010-03-14,60
2010-03-21,68
2010-03-28,51
2010-04-04,74
2010-04-11,83
2010-04-18,67
2010-04-25,60
2010-05-02,47
2010-05-09,57
2010-05-16,44
2010-05-23,42
2010-05-30,73
2010-06-06,85
2010-06-13,63
2010-06-20,65
2010-06-27,66
2010-07-04,100
2010-07-11,85
2010-07-18,64
2010-07-25,75
2010-08-01,60
2010-08-08,63
2010-08-15,72
2010-08-22,39
2010-08-29,41
2010-09-05,37
2010-09-12,29
2010-09-19,41
2010-09-26,27
2010-10-03,33
2010-10-10,26
2010-10-17,29
2010-10-24,34
2010-10-31,26
2010-11-07,21
2010-11-14,38
2010-11-21,28
2010-11-28,29
2010-12-05,19
2010-12-12,28
2010-12-19,37
2010-12-26,30
2011-01-02,44
2011-01-09,45
2011-01-16,53
2011-01-23,46
2011-01-30,35
2011-02-06,41
2011-02-13,44
2011-02-20,46
2011-02-27,37
2011-03-06,36
2011-03-13,37
2011-03-20,42
2011-03-27,38
2011-04-03,36
2011-04-10,40
2011-04-17,29
2011-04-24,42
2011-05-01,50
2011-05-08,39
2011-05-15,41
2011-05-22,49
2011-05-29,48
2011-06-05,50
2011-06-12,45
2011-06-19,54
2011-06-26,53
2011-07-03,36
2011-07-10,46
2011-07-17,48
2011-07-24,51
2011-07-31,50
2011-08-07,36
2011-08-14,38
2011-08-21,42
2011-08-28,29
2011-09-04,27
2011-09-11,31
2011-09-18,31
2011-09-25,28
2011-10-02,18
2011-10-09,29
2011-10-16,23
2011-10-23,20
2011-10-30,18
2011-11-06,18
2011-11-13,25
2011-11-20,21
2011-11-27,23
2011-12-04,24
2011-12-11,19
2011-12-18,15
2011-12-25,22
