Category: All categories

Week,Auto insurance: (Portugal)
2017-01-01,0
2017-01-08,22
2017-01-15,14
2017-01-22,0
2017-01-29,18
2017-02-05,32
2017-02-12,54
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,100
2017-04-02,35
2017-04-09,30
2017-04-16,43
2017-04-23,36
2017-04-30,34
2017-05-07,17
2017-05-14,0
2017-05-21,30
2017-05-28,16
2017-06-04,48
2017-06-11,52
2017-06-18,15
2017-06-25,64
2017-07-02,43
2017-07-09,69
2017-07-16,64
2017-07-23,43
2017-07-30,43
2017-08-06,48
2017-08-13,67
2017-08-20,28
2017-08-27,27
2017-09-03,18
2017-09-10,20
2017-09-17,25
2017-09-24,44
2017-10-01,14
2017-10-08,0
2017-10-15,12
2017-10-22,17
2017-10-29,18
2017-11-05,28
2017-11-12,32
2017-11-19,41
2017-11-26,13
2017-12-03,17
2017-12-10,31
2017-12-17,41
2017-12-24,30
2017-12-31,0
