Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2018-01-07,82,87
2018-01-14,88,89
2018-01-21,85,89
2018-01-28,79,89
2018-02-04,74,84
2018-02-11,71,81
2018-02-18,82,82
2018-02-25,80,80
2018-03-04,82,80
2018-03-11,96,85
2018-03-18,84,69
2018-03-25,86,82
2018-04-01,83,71
2018-04-08,79,78
2018-04-15,89,68
2018-04-22,85,66
2018-04-29,91,73
2018-05-06,79,69
2018-05-13,81,58
2018-05-20,93,70
2018-05-27,78,76
2018-06-03,100,70
2018-06-10,83,71
2018-06-17,67,59
2018-06-24,59,59
2018-07-01,58,65
2018-07-08,55,59
2018-07-15,60,77
2018-07-22,59,70
2018-07-29,56,72
2018-08-05,51,77
2018-08-12,53,81
2018-08-19,56,71
2018-08-26,54,85
2018-09-02,59,67
2018-09-09,57,73
2018-09-16,59,76
2018-09-23,76,82
2018-09-30,69,73
2018-10-07,89,77
2018-10-14,74,68
2018-10-21,76,71
2018-10-28,68,72
2018-11-04,75,64
2018-11-11,77,74
2018-11-18,79,64
2018-11-25,81,63
2018-12-02,82,63
2018-12-09,67,62
2018-12-16,63,64
2018-12-23,50,86
2018-12-30,65,72
