Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2008-01-06,71,47
2008-01-13,66,58
2008-01-20,61,52
2008-01-27,62,43
2008-02-03,54,48
2008-02-10,61,42
2008-02-17,73,41
2008-02-24,73,43
2008-03-02,72,49
2008-03-09,60,45
2008-03-16,53,40
2008-03-23,47,46
2008-03-30,74,36
2008-04-06,68,48
2008-04-13,68,45
2008-04-20,82,37
2008-04-27,66,43
2008-05-04,89,39
2008-05-11,82,47
2008-05-18,90,41
2008-05-25,100,45
2008-06-01,95,39
2008-06-08,76,38
2008-06-15,69,32
2008-06-22,55,34
2008-06-29,50,35
2008-07-06,51,37
2008-07-13,60,41
2008-07-20,35,44
2008-07-27,31,43
2008-08-03,34,44
2008-08-10,28,42
2008-08-17,38,45
2008-08-24,32,51
2008-08-31,36,45
2008-09-07,39,43
2008-09-14,52,43
2008-09-21,59,38
2008-09-28,61,35
2008-10-05,66,42
2008-10-12,60,41
2008-10-19,58,41
2008-10-26,59,38
2008-11-02,53,36
2008-11-09,65,39
2008-11-16,72,36
2008-11-23,61,43
2008-11-30,57,32
2008-12-07,54,28
2008-12-14,63,29
2008-12-21,40,26
2008-12-28,51,26
