Category: All categories

Week,T-shirt: (Portugal)
2012-01-01,73
2012-01-08,63
2012-01-15,59
2012-01-22,59
2012-01-29,56
2012-02-05,66
2012-02-12,64
2012-02-19,74
2012-02-26,63
2012-03-04,74
2012-03-11,73
2012-03-18,75
2012-03-25,70
2012-04-01,75
2012-04-08,74
2012-04-15,80
2012-04-22,71
2012-04-29,71
2012-05-06,80
2012-05-13,90
2012-05-20,90
2012-05-27,93
2012-06-03,98
2012-06-10,89
2012-06-17,98
2012-06-24,95
2012-07-01,100
2012-07-08,97
2012-07-15,90
2012-07-22,92
2012-07-29,86
2012-08-05,76
2012-08-12,92
2012-08-19,91
2012-08-26,83
2012-09-02,77
2012-09-09,80
2012-09-16,71
2012-09-23,65
2012-09-30,82
2012-10-07,64
2012-10-14,71
2012-10-21,66
2012-10-28,63
2012-11-04,68
2012-11-11,61
2012-11-18,62
2012-11-25,70
2012-12-02,77
2012-12-09,76
2012-12-16,74
2012-12-23,53
2012-12-30,51
