Category: All categories

Week,Energy: (Portugal),Beer: (Portugal)
2018-01-07,84,48
2018-01-14,86,44
2018-01-21,86,50
2018-01-28,79,38
2018-02-04,76,45
2018-02-11,73,51
2018-02-18,83,53
2018-02-25,82,43
2018-03-04,80,54
2018-03-11,94,53
2018-03-18,87,58
2018-03-25,84,58
2018-04-01,84,46
2018-04-08,82,49
2018-04-15,90,52
2018-04-22,91,55
2018-04-29,86,56
2018-05-06,80,62
2018-05-13,84,56
2018-05-20,94,60
2018-05-27,80,57
2018-06-03,100,62
2018-06-10,84,77
2018-06-17,66,59
2018-06-24,58,62
2018-07-01,57,67
2018-07-08,54,67
2018-07-15,58,72
2018-07-22,59,61
2018-07-29,57,76
2018-08-05,50,69
2018-08-12,51,58
2018-08-19,57,67
2018-08-26,54,71
2018-09-02,61,59
2018-09-09,56,62
2018-09-16,59,64
2018-09-23,79,58
2018-09-30,69,71
2018-10-07,91,62
2018-10-14,75,55
2018-10-21,77,50
2018-10-28,70,49
2018-11-04,75,42
2018-11-11,77,50
2018-11-18,77,47
2018-11-25,85,50
2018-12-02,80,46
2018-12-09,70,51
2018-12-16,61,53
2018-12-23,50,65
2018-12-30,65,56
