Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2016-01-03,95,85
2016-01-10,82,80
2016-01-17,88,77
2016-01-24,83,82
2016-01-31,79,74
2016-02-07,67,72
2016-02-14,81,75
2016-02-21,86,76
2016-02-28,92,80
2016-03-06,85,75
2016-03-13,79,78
2016-03-20,66,78
2016-03-27,69,76
2016-04-03,80,64
2016-04-10,89,79
2016-04-17,87,74
2016-04-24,88,67
2016-05-01,91,72
2016-05-08,97,79
2016-05-15,100,67
2016-05-22,95,70
2016-05-29,98,67
2016-06-05,77,62
2016-06-12,83,64
2016-06-19,57,62
2016-06-26,62,63
2016-07-03,59,67
2016-07-10,56,69
2016-07-17,60,77
2016-07-24,60,75
2016-07-31,50,71
2016-08-07,45,78
2016-08-14,45,75
2016-08-21,54,77
2016-08-28,64,79
2016-09-04,59,80
2016-09-11,60,86
2016-09-18,70,80
2016-09-25,75,83
2016-10-02,75,70
2016-10-09,74,70
2016-10-16,73,78
2016-10-23,77,71
2016-10-30,71,85
2016-11-06,88,70
2016-11-13,83,77
2016-11-20,79,61
2016-11-27,77,71
2016-12-04,69,65
2016-12-11,63,68
2016-12-18,51,70
2016-12-25,58,71
