Category: All categories

Week,Novel: (Portugal)
2014-01-05,56
2014-01-12,66
2014-01-19,57
2014-01-26,47
2014-02-02,38
2014-02-09,53
2014-02-16,63
2014-02-23,69
2014-03-02,57
2014-03-09,51
2014-03-16,20
2014-03-23,37
2014-03-30,44
2014-04-06,63
2014-04-13,44
2014-04-20,63
2014-04-27,54
2014-05-04,79
2014-05-11,57
2014-05-18,36
2014-05-25,50
2014-06-01,47
2014-06-08,85
2014-06-15,56
2014-06-22,76
2014-06-29,42
2014-07-06,80
2014-07-13,55
2014-07-20,66
2014-07-27,80
2014-08-03,51
2014-08-10,54
2014-08-17,50
2014-08-24,42
2014-08-31,46
2014-09-07,48
2014-09-14,55
2014-09-21,47
2014-09-28,52
2014-10-05,54
2014-10-12,57
2014-10-19,61
2014-10-26,41
2014-11-02,75
2014-11-09,50
2014-11-16,100
2014-11-23,36
2014-11-30,29
2014-12-07,44
2014-12-14,35
2014-12-21,57
2014-12-28,22
