Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2011-01-02,12,77
2011-01-09,16,76
2011-01-16,15,82
2011-01-23,14,75
2011-01-30,14,75
2011-02-06,15,76
2011-02-13,13,75
2011-02-20,16,73
2011-02-27,14,74
2011-03-06,13,93
2011-03-13,16,65
2011-03-20,15,68
2011-03-27,14,69
2011-04-03,13,71
2011-04-10,10,90
2011-04-17,11,94
2011-04-24,14,69
2011-05-01,15,69
2011-05-08,15,67
2011-05-15,17,60
2011-05-22,19,64
2011-05-29,18,61
2011-06-05,17,72
2011-06-12,18,65
2011-06-19,15,83
2011-06-26,19,79
2011-07-03,16,80
2011-07-10,15,82
2011-07-17,17,79
2011-07-24,15,88
2011-07-31,10,89
2011-08-07,9,90
2011-08-14,8,93
2011-08-21,10,91
2011-08-28,8,88
2011-09-04,10,89
2011-09-11,9,76
2011-09-18,11,68
2011-09-25,11,67
2011-10-02,12,69
2011-10-09,11,62
2011-10-16,14,65
2011-10-23,12,70
2011-10-30,11,76
2011-11-06,13,75
2011-11-13,13,71
2011-11-20,12,77
2011-11-27,12,80
2011-12-04,11,82
2011-12-11,13,82
2011-12-18,8,100
2011-12-25,10,92
