Category: All categories

Week,Energy: (Portugal),Tobacco: (Portugal)
2015-01-04,87,0
2015-01-11,100,2
2015-01-18,93,2
2015-01-25,85,3
2015-02-01,75,2
2015-02-08,76,2
2015-02-15,70,2
2015-02-22,92,2
2015-03-01,84,4
2015-03-08,83,4
2015-03-15,84,3
2015-03-22,69,2
2015-03-29,58,4
2015-04-05,73,2
2015-04-12,82,4
2015-04-19,78,3
2015-04-26,73,2
2015-05-03,77,1
2015-05-10,84,5
2015-05-17,78,3
2015-05-24,84,4
2015-05-31,71,2
2015-06-07,75,1
2015-06-14,65,0
2015-06-21,56,4
2015-06-28,57,2
2015-07-05,50,3
2015-07-12,52,0
2015-07-19,48,2
2015-07-26,56,3
2015-08-02,41,4
2015-08-09,43,1
2015-08-16,46,1
2015-08-23,44,4
2015-08-30,55,1
2015-09-06,55,3
2015-09-13,50,4
2015-09-20,58,2
2015-09-27,65,0
2015-10-04,62,4
2015-10-11,67,3
2015-10-18,64,4
2015-10-25,69,3
2015-11-01,69,2
2015-11-08,62,3
2015-11-15,62,3
2015-11-22,71,3
2015-11-29,71,4
2015-12-06,63,2
2015-12-13,66,3
2015-12-20,39,2
2015-12-27,54,3
