Category: All categories

Week,Used car: (Portugal)
2012-01-01,100
2012-01-08,97
2012-01-15,99
2012-01-22,97
2012-01-29,98
2012-02-05,94
2012-02-12,95
2012-02-19,99
2012-02-26,91
2012-03-04,88
2012-03-11,86
2012-03-18,96
2012-03-25,84
2012-04-01,90
2012-04-08,99
2012-04-15,92
2012-04-22,89
2012-04-29,87
2012-05-06,91
2012-05-13,85
2012-05-20,87
2012-05-27,77
2012-06-03,86
2012-06-10,81
2012-06-17,76
2012-06-24,85
2012-07-01,90
2012-07-08,90
2012-07-15,88
2012-07-22,83
2012-07-29,87
2012-08-05,79
2012-08-12,93
2012-08-19,98
2012-08-26,97
2012-09-02,80
2012-09-09,76
2012-09-16,81
2012-09-23,83
2012-09-30,88
2012-10-07,83
2012-10-14,78
2012-10-21,84
2012-10-28,84
2012-11-04,80
2012-11-11,71
2012-11-18,70
2012-11-25,69
2012-12-02,63
2012-12-09,66
2012-12-16,58
2012-12-23,74
2012-12-30,76
