Category: All categories

Week,Tobacco: (Portugal)
2011-01-02,27
2011-01-09,47
2011-01-16,50
2011-01-23,70
2011-01-30,61
2011-02-06,97
2011-02-13,0
2011-02-20,63
2011-02-27,49
2011-03-06,39
2011-03-13,79
2011-03-20,92
2011-03-27,71
2011-04-03,58
2011-04-10,56
2011-04-17,67
2011-04-24,91
2011-05-01,54
2011-05-08,80
2011-05-15,65
2011-05-22,63
2011-05-29,44
2011-06-05,60
2011-06-12,45
2011-06-19,49
2011-06-26,67
2011-07-03,14
2011-07-10,36
2011-07-17,0
2011-07-24,28
2011-07-31,0
2011-08-07,0
2011-08-14,76
2011-08-21,50
2011-08-28,45
2011-09-04,54
2011-09-11,79
2011-09-18,39
2011-09-25,75
2011-10-02,71
2011-10-09,73
2011-10-16,44
2011-10-23,66
2011-10-30,63
2011-11-06,18
2011-11-13,100
2011-11-20,76
2011-11-27,26
2011-12-04,59
2011-12-11,97
2011-12-18,51
2011-12-25,41
