Category: All categories

Week,Automotive industry: (Portugal)
2014-01-05,32
2014-01-12,26
2014-01-19,30
2014-01-26,16
2014-02-02,0
2014-02-09,0
2014-02-16,50
2014-02-23,63
2014-03-02,0
2014-03-09,0
2014-03-16,29
2014-03-23,48
2014-03-30,0
2014-04-06,37
2014-04-13,54
2014-04-20,33
2014-04-27,40
2014-05-04,66
2014-05-11,59
2014-05-18,29
2014-05-25,52
2014-06-01,46
2014-06-08,53
2014-06-15,0
2014-06-22,40
2014-06-29,40
2014-07-06,0
2014-07-13,72
2014-07-20,49
2014-07-27,57
2014-08-03,22
2014-08-10,47
2014-08-17,0
2014-08-24,59
2014-08-31,41
2014-09-07,45
2014-09-14,52
2014-09-21,39
2014-09-28,38
2014-10-05,94
2014-10-12,40
2014-10-19,88
2014-10-26,44
2014-11-02,54
2014-11-09,70
2014-11-16,87
2014-11-23,95
2014-11-30,25
2014-12-07,59
2014-12-14,75
2014-12-21,0
2014-12-28,0
2015-01-04,60
2015-01-11,54
2015-01-18,81
2015-01-25,48
2015-02-01,44
2015-02-08,46
2015-02-15,48
2015-02-22,20
2015-03-01,31
2015-03-08,52
2015-03-15,0
2015-03-22,63
2015-03-29,43
2015-04-05,63
2015-04-12,53
2015-04-19,34
2015-04-26,53
2015-05-03,52
2015-05-10,57
2015-05-17,100
2015-05-24,42
2015-05-31,53
2015-06-07,24
2015-06-14,0
2015-06-21,43
2015-06-28,100
2015-07-05,39
2015-07-12,62
2015-07-19,32
2015-07-26,51
2015-08-02,30
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,88
2015-09-06,0
2015-09-13,0
2015-09-20,100
2015-09-27,43
2015-10-04,52
2015-10-11,84
2015-10-18,20
2015-10-25,77
2015-11-01,0
2015-11-08,72
2015-11-15,35
2015-11-22,40
2015-11-29,57
2015-12-06,45
2015-12-13,23
2015-12-20,45
2015-12-27,31
