Category: All categories

Week,Fur: (Portugal)
2017-01-01,62
2017-01-08,66
2017-01-15,79
2017-01-22,66
2017-01-29,56
2017-02-05,46
2017-02-12,40
2017-02-19,48
2017-02-26,49
2017-03-05,50
2017-03-12,35
2017-03-19,49
2017-03-26,46
2017-04-02,31
2017-04-09,46
2017-04-16,36
2017-04-23,39
2017-04-30,33
2017-05-07,31
2017-05-14,43
2017-05-21,26
2017-05-28,35
2017-06-04,36
2017-06-11,35
2017-06-18,36
2017-06-25,35
2017-07-02,35
2017-07-09,32
2017-07-16,30
2017-07-23,26
2017-07-30,36
2017-08-06,22
2017-08-13,45
2017-08-20,32
2017-08-27,34
2017-09-03,35
2017-09-10,39
2017-09-17,44
2017-09-24,33
2017-10-01,11
2017-10-08,32
2017-10-15,43
2017-10-22,36
2017-10-29,32
2017-11-05,58
2017-11-12,44
2017-11-19,50
2017-11-26,68
2017-12-03,100
2017-12-10,82
2017-12-17,67
2017-12-24,65
2017-12-31,63
