Category: All categories

Week,Video game: (Portugal)
2007-01-07,66
2007-01-14,66
2007-01-21,64
2007-01-28,66
2007-02-04,61
2007-02-11,65
2007-02-18,81
2007-02-25,58
2007-03-04,61
2007-03-11,56
2007-03-18,71
2007-03-25,75
2007-04-01,76
2007-04-08,65
2007-04-15,54
2007-04-22,65
2007-04-29,63
2007-05-06,57
2007-05-13,57
2007-05-20,65
2007-05-27,62
2007-06-03,64
2007-06-10,64
2007-06-17,74
2007-06-24,72
2007-07-01,71
2007-07-08,73
2007-07-15,72
2007-07-22,75
2007-07-29,70
2007-08-05,73
2007-08-12,87
2007-08-19,82
2007-08-26,77
2007-09-02,76
2007-09-09,69
2007-09-16,60
2007-09-23,62
2007-09-30,74
2007-10-07,60
2007-10-14,63
2007-10-21,65
2007-10-28,72
2007-11-04,61
2007-11-11,63
2007-11-18,69
2007-11-25,66
2007-12-02,73
2007-12-09,83
2007-12-16,92
2007-12-23,100
2007-12-30,77
