Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2016-01-03,93,88
2016-01-10,83,80
2016-01-17,89,74
2016-01-24,81,79
2016-01-31,76,90
2016-02-07,67,67
2016-02-14,80,80
2016-02-21,86,88
2016-02-28,91,80
2016-03-06,84,76
2016-03-13,78,80
2016-03-20,67,57
2016-03-27,65,73
2016-04-03,80,84
2016-04-10,87,73
2016-04-17,87,73
2016-04-24,86,70
2016-05-01,93,80
2016-05-08,97,71
2016-05-15,100,94
2016-05-22,93,70
2016-05-29,97,88
2016-06-05,75,64
2016-06-12,83,65
2016-06-19,57,75
2016-06-26,63,83
2016-07-03,58,76
2016-07-10,57,80
2016-07-17,58,83
2016-07-24,56,68
2016-07-31,46,63
2016-08-07,45,52
2016-08-14,44,54
2016-08-21,52,58
2016-08-28,66,71
2016-09-04,59,75
2016-09-11,60,82
2016-09-18,68,86
2016-09-25,74,83
2016-10-02,74,72
2016-10-09,72,76
2016-10-16,74,84
2016-10-23,76,82
2016-10-30,70,67
2016-11-06,90,93
2016-11-13,80,89
2016-11-20,79,85
2016-11-27,76,74
2016-12-04,68,78
2016-12-11,62,91
2016-12-18,48,66
2016-12-25,57,71
