Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2011-01-02,64,61
2011-01-09,82,63
2011-01-16,79,64
2011-01-23,76,65
2011-01-30,73,59
2011-02-06,79,79
2011-02-13,70,75
2011-02-20,82,69
2011-02-27,75,63
2011-03-06,66,59
2011-03-13,86,65
2011-03-20,79,67
2011-03-27,75,62
2011-04-03,69,56
2011-04-10,50,52
2011-04-17,58,60
2011-04-24,72,63
2011-05-01,81,57
2011-05-08,79,56
2011-05-15,91,54
2011-05-22,100,57
2011-05-29,95,56
2011-06-05,88,62
2011-06-12,96,67
2011-06-19,79,67
2011-06-26,99,58
2011-07-03,81,67
2011-07-10,79,65
2011-07-17,91,58
2011-07-24,77,58
2011-07-31,55,57
2011-08-07,46,63
2011-08-14,42,66
2011-08-21,51,60
2011-08-28,43,65
2011-09-04,51,62
2011-09-11,48,64
2011-09-18,57,62
2011-09-25,60,64
2011-10-02,64,64
2011-10-09,60,55
2011-10-16,72,56
2011-10-23,63,58
2011-10-30,58,52
2011-11-06,67,56
2011-11-13,70,63
2011-11-20,64,62
2011-11-27,61,62
2011-12-04,58,59
2011-12-11,66,64
2011-12-18,40,56
2011-12-25,51,55
