Category: All categories

Week,Television: (Portugal)
2010-01-03,63
2010-01-10,65
2010-01-17,72
2010-01-24,68
2010-01-31,65
2010-02-07,64
2010-02-14,73
2010-02-21,83
2010-02-28,76
2010-03-07,66
2010-03-14,74
2010-03-21,72
2010-03-28,69
2010-04-04,70
2010-04-11,80
2010-04-18,67
2010-04-25,60
2010-05-02,84
2010-05-09,75
2010-05-16,54
2010-05-23,55
2010-05-30,55
2010-06-06,82
2010-06-13,96
2010-06-20,90
2010-06-27,60
2010-07-04,53
2010-07-11,58
2010-07-18,59
2010-07-25,59
2010-08-01,74
2010-08-08,53
2010-08-15,68
2010-08-22,65
2010-08-29,58
2010-09-05,57
2010-09-12,62
2010-09-19,76
2010-09-26,68
2010-10-03,75
2010-10-10,62
2010-10-17,74
2010-10-24,75
2010-10-31,71
2010-11-07,85
2010-11-14,63
2010-11-21,79
2010-11-28,84
2010-12-05,62
2010-12-12,67
2010-12-19,62
2010-12-26,58
2011-01-02,62
2011-01-09,68
2011-01-16,81
2011-01-23,62
2011-01-30,77
2011-02-06,69
2011-02-13,80
2011-02-20,86
2011-02-27,69
2011-03-06,88
2011-03-13,82
2011-03-20,65
2011-03-27,53
2011-04-03,81
2011-04-10,71
2011-04-17,100
2011-04-24,73
2011-05-01,66
2011-05-08,58
2011-05-15,51
2011-05-22,47
2011-05-29,51
2011-06-05,44
2011-06-12,42
2011-06-19,46
2011-06-26,42
2011-07-03,54
2011-07-10,62
2011-07-17,63
2011-07-24,58
2011-07-31,68
2011-08-07,59
2011-08-14,87
2011-08-21,65
2011-08-28,64
2011-09-04,68
2011-09-11,82
2011-09-18,99
2011-09-25,71
2011-10-02,73
2011-10-09,64
2011-10-16,66
2011-10-23,67
2011-10-30,82
2011-11-06,79
2011-11-13,61
2011-11-20,88
2011-11-27,65
2011-12-04,79
2011-12-11,65
2011-12-18,60
2011-12-25,54
