Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2016-01-03,95,25
2016-01-10,82,31
2016-01-17,88,31
2016-01-24,83,31
2016-01-31,79,31
2016-02-07,67,45
2016-02-14,81,34
2016-02-21,86,36
2016-02-28,92,34
2016-03-06,85,32
2016-03-13,79,37
2016-03-20,66,50
2016-03-27,69,29
2016-04-03,80,29
2016-04-10,89,31
2016-04-17,87,30
2016-04-24,88,28
2016-05-01,91,35
2016-05-08,97,37
2016-05-15,100,32
2016-05-22,95,38
2016-05-29,98,21
2016-06-05,77,27
2016-06-12,83,27
2016-06-19,57,32
2016-06-26,62,32
2016-07-03,59,34
2016-07-10,56,29
2016-07-17,60,26
2016-07-24,60,26
2016-07-31,50,40
2016-08-07,45,29
2016-08-14,45,37
2016-08-21,54,30
2016-08-28,64,31
2016-09-04,59,26
2016-09-11,60,28
2016-09-18,70,27
2016-09-25,75,30
2016-10-02,75,30
2016-10-09,74,32
2016-10-16,73,34
2016-10-23,77,34
2016-10-30,71,38
2016-11-06,88,26
2016-11-13,83,28
2016-11-20,79,34
2016-11-27,77,34
2016-12-04,69,40
2016-12-11,63,36
2016-12-18,51,62
2016-12-25,58,53
