Category: All categories

Week,Novel: (Portugal)
2018-01-07,94
2018-01-14,67
2018-01-21,100
2018-01-28,79
2018-02-04,69
2018-02-11,72
2018-02-18,60
2018-02-25,61
2018-03-04,76
2018-03-11,79
2018-03-18,78
2018-03-25,84
2018-04-01,72
2018-04-08,58
2018-04-15,67
2018-04-22,73
2018-04-29,77
2018-05-06,63
2018-05-13,67
2018-05-20,71
2018-05-27,76
2018-06-03,77
2018-06-10,62
2018-06-17,64
2018-06-24,62
2018-07-01,86
2018-07-08,84
2018-07-15,64
2018-07-22,80
2018-07-29,67
2018-08-05,73
2018-08-12,59
2018-08-19,76
2018-08-26,75
2018-09-02,65
2018-09-09,66
2018-09-16,60
2018-09-23,79
2018-09-30,68
2018-10-07,53
2018-10-14,65
2018-10-21,35
2018-10-28,77
2018-11-04,45
2018-11-11,46
2018-11-18,65
2018-11-25,54
2018-12-02,69
2018-12-09,73
2018-12-16,49
2018-12-23,78
2018-12-30,76
