Category: All categories

Week,Amusement park: (Portugal)
2006-01-01,0
2006-01-08,31
2006-01-15,0
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,0
2006-02-19,48
2006-02-26,0
2006-03-05,0
2006-03-12,0
2006-03-19,33
2006-03-26,0
2006-04-02,0
2006-04-09,72
2006-04-16,34
2006-04-23,0
2006-04-30,64
2006-05-07,0
2006-05-14,21
2006-05-21,100
2006-05-28,0
2006-06-04,0
2006-06-11,41
2006-06-18,0
2006-06-25,17
2006-07-02,39
2006-07-09,18
2006-07-16,54
2006-07-23,0
2006-07-30,33
2006-08-06,62
2006-08-13,60
2006-08-20,22
2006-08-27,0
2006-09-03,46
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,18
2006-10-08,0
2006-10-15,0
2006-10-22,0
2006-10-29,20
2006-11-05,0
2006-11-12,20
2006-11-19,0
2006-11-26,0
2006-12-03,0
2006-12-10,0
2006-12-17,16
2006-12-24,0
2006-12-31,0
2007-01-07,27
2007-01-14,0
2007-01-21,0
2007-01-28,16
2007-02-04,19
2007-02-11,0
2007-02-18,23
2007-02-25,30
2007-03-04,33
2007-03-11,21
2007-03-18,11
2007-03-25,31
2007-04-01,0
2007-04-08,23
2007-04-15,28
2007-04-22,16
2007-04-29,25
2007-05-06,22
2007-05-13,0
2007-05-20,20
2007-05-27,44
2007-06-03,25
2007-06-10,21
2007-06-17,34
2007-06-24,31
2007-07-01,61
2007-07-08,52
2007-07-15,42
2007-07-22,50
2007-07-29,20
2007-08-05,31
2007-08-12,12
2007-08-19,53
2007-08-26,0
2007-09-02,46
2007-09-09,19
2007-09-16,0
2007-09-23,11
2007-09-30,0
2007-10-07,0
2007-10-14,20
2007-10-21,0
2007-10-28,0
2007-11-04,10
2007-11-11,14
2007-11-18,0
2007-11-25,24
2007-12-02,16
2007-12-09,13
2007-12-16,11
2007-12-23,12
2007-12-30,12
