Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2011-01-02,42,95
2011-01-09,54,91
2011-01-16,52,94
2011-01-23,50,90
2011-01-30,48,100
2011-02-06,52,97
2011-02-13,46,90
2011-02-20,54,96
2011-02-27,50,91
2011-03-06,43,90
2011-03-13,57,88
2011-03-20,52,88
2011-03-27,49,86
2011-04-03,45,81
2011-04-10,33,82
2011-04-17,38,82
2011-04-24,47,79
2011-05-01,53,81
2011-05-08,52,76
2011-05-15,60,84
2011-05-22,66,92
2011-05-29,63,82
2011-06-05,58,78
2011-06-12,64,85
2011-06-19,52,76
2011-06-26,65,75
2011-07-03,54,89
2011-07-10,52,80
2011-07-17,60,89
2011-07-24,51,80
2011-07-31,36,82
2011-08-07,30,90
2011-08-14,28,85
2011-08-21,34,93
2011-08-28,29,83
2011-09-04,34,80
2011-09-11,32,86
2011-09-18,38,80
2011-09-25,40,94
2011-10-02,42,87
2011-10-09,39,90
2011-10-16,47,74
2011-10-23,42,61
2011-10-30,38,67
2011-11-06,44,63
2011-11-13,46,69
2011-11-20,42,67
2011-11-27,41,64
2011-12-04,38,55
2011-12-11,44,58
2011-12-18,26,48
2011-12-25,33,67
