Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2010-01-03,65,11
2010-01-10,73,9
2010-01-17,69,5
2010-01-24,73,7
2010-01-31,76,4
2010-02-07,68,8
2010-02-14,55,6
2010-02-21,69,7
2010-02-28,64,8
2010-03-07,67,8
2010-03-14,65,6
2010-03-21,60,7
2010-03-28,45,4
2010-04-04,56,6
2010-04-11,72,7
2010-04-18,85,8
2010-04-25,75,9
2010-05-02,79,13
2010-05-09,76,8
2010-05-16,94,14
2010-05-23,100,12
2010-05-30,82,20
2010-06-06,66,13
2010-06-13,47,9
2010-06-20,39,5
2010-06-27,46,9
2010-07-04,45,5
2010-07-11,38,7
2010-07-18,36,6
2010-07-25,47,6
2010-08-01,42,2
2010-08-08,32,4
2010-08-15,37,5
2010-08-22,36,0
2010-08-29,30,8
2010-09-05,35,8
2010-09-12,51,7
2010-09-19,52,11
2010-09-26,47,10
2010-10-03,52,7
2010-10-10,57,6
2010-10-17,49,7
2010-10-24,55,7
2010-10-31,62,5
2010-11-07,60,8
2010-11-14,61,6
2010-11-21,60,9
2010-11-28,57,9
2010-12-05,55,5
2010-12-12,47,11
2010-12-19,33,8
2010-12-26,29,6
