Category: All categories

Week,Electricity: (Portugal)
2016-01-03,69
2016-01-10,63
2016-01-17,66
2016-01-24,80
2016-01-31,68
2016-02-07,57
2016-02-14,62
2016-02-21,77
2016-02-28,71
2016-03-06,77
2016-03-13,68
2016-03-20,50
2016-03-27,57
2016-04-03,68
2016-04-10,66
2016-04-17,56
2016-04-24,68
2016-05-01,70
2016-05-08,64
2016-05-15,64
2016-05-22,70
2016-05-29,67
2016-06-05,62
2016-06-12,52
2016-06-19,54
2016-06-26,61
2016-07-03,52
2016-07-10,52
2016-07-17,41
2016-07-24,54
2016-07-31,60
2016-08-07,50
2016-08-14,53
2016-08-21,50
2016-08-28,51
2016-09-04,49
2016-09-11,51
2016-09-18,55
2016-09-25,59
2016-10-02,64
2016-10-09,63
2016-10-16,52
2016-10-23,55
2016-10-30,63
2016-11-06,51
2016-11-13,64
2016-11-20,66
2016-11-27,67
2016-12-04,66
2016-12-11,67
2016-12-18,73
2016-12-25,76
2017-01-01,77
2017-01-08,68
2017-01-15,100
2017-01-22,80
2017-01-29,80
2017-02-05,74
2017-02-12,73
2017-02-19,66
2017-02-26,67
2017-03-05,81
2017-03-12,74
2017-03-19,78
2017-03-26,75
2017-04-02,59
2017-04-09,67
2017-04-16,58
2017-04-23,71
2017-04-30,76
2017-05-07,67
2017-05-14,69
2017-05-21,68
2017-05-28,73
2017-06-04,78
2017-06-11,70
2017-06-18,56
2017-06-25,58
2017-07-02,63
2017-07-09,58
2017-07-16,59
2017-07-23,49
2017-07-30,60
2017-08-06,55
2017-08-13,60
2017-08-20,56
2017-08-27,64
2017-09-03,53
2017-09-10,67
2017-09-17,65
2017-09-24,67
2017-10-01,62
2017-10-08,61
2017-10-15,68
2017-10-22,65
2017-10-29,71
2017-11-05,78
2017-11-12,81
2017-11-19,69
2017-11-26,82
2017-12-03,81
2017-12-10,72
2017-12-17,72
2017-12-24,95
2017-12-31,87
