Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2013-01-06,85,20
2013-01-13,81,19
2013-01-20,88,20
2013-01-27,79,23
2013-02-03,76,17
2013-02-10,62,15
2013-02-17,78,18
2013-02-24,84,20
2013-03-03,88,17
2013-03-10,73,22
2013-03-17,60,18
2013-03-24,70,24
2013-03-31,75,16
2013-04-07,88,19
2013-04-14,82,21
2013-04-21,76,25
2013-04-28,83,26
2013-05-05,79,23
2013-05-12,89,22
2013-05-19,97,24
2013-05-26,99,18
2013-06-02,81,22
2013-06-09,63,21
2013-06-16,64,16
2013-06-23,55,15
2013-06-30,47,20
2013-07-07,49,19
2013-07-14,55,21
2013-07-21,48,21
2013-07-28,41,24
2013-08-04,40,20
2013-08-11,34,21
2013-08-18,43,25
2013-08-25,43,20
2013-09-01,46,22
2013-09-08,52,22
2013-09-15,54,26
2013-09-22,59,18
2013-09-29,65,18
2013-10-06,65,20
2013-10-13,65,24
2013-10-20,68,17
2013-10-27,71,20
2013-11-03,75,24
2013-11-10,72,19
2013-11-17,75,21
2013-11-24,88,21
2013-12-01,100,21
2013-12-08,88,24
2013-12-15,67,18
2013-12-22,56,23
2013-12-29,65,20
