Category: All categories

Week,Lumber: (Portugal)
2010-01-03,40
2010-01-10,29
2010-01-17,36
2010-01-24,45
2010-01-31,0
2010-02-07,39
2010-02-14,74
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,40
2010-03-21,24
2010-03-28,0
2010-04-04,27
2010-04-11,39
2010-04-18,45
2010-04-25,30
2010-05-02,32
2010-05-09,0
2010-05-16,91
2010-05-23,0
2010-05-30,0
2010-06-06,60
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,49
2010-07-25,58
2010-08-01,0
2010-08-08,41
2010-08-15,64
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,28
2010-10-24,68
2010-10-31,0
2010-11-07,100
2010-11-14,0
2010-11-21,0
2010-11-28,33
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,39
