Category: All categories

Week,Life insurance: (Portugal)
2013-01-06,25
2013-01-13,0
2013-01-20,47
2013-01-27,29
2013-02-03,0
2013-02-10,0
2013-02-17,44
2013-02-24,34
2013-03-03,15
2013-03-10,12
2013-03-17,41
2013-03-24,23
2013-03-31,100
2013-04-07,66
2013-04-14,55
2013-04-21,71
2013-04-28,84
2013-05-05,0
2013-05-12,34
2013-05-19,61
2013-05-26,60
2013-06-02,46
2013-06-09,29
2013-06-16,0
2013-06-23,0
2013-06-30,67
2013-07-07,0
2013-07-14,34
2013-07-21,36
2013-07-28,0
2013-08-04,42
2013-08-11,34
2013-08-18,58
2013-08-25,47
2013-09-01,32
2013-09-08,43
2013-09-15,15
2013-09-22,28
2013-09-29,45
2013-10-06,11
2013-10-13,18
2013-10-20,74
2013-10-27,32
2013-11-03,37
2013-11-10,53
2013-11-17,53
2013-11-24,29
2013-12-01,13
2013-12-08,17
2013-12-15,20
2013-12-22,30
2013-12-29,54
