Category: All categories

Week,Automotive industry: (Portugal)
2015-01-04,69
2015-01-11,0
2015-01-18,48
2015-01-25,17
2015-02-01,45
2015-02-08,27
2015-02-15,26
2015-02-22,54
2015-03-01,16
2015-03-08,44
2015-03-15,20
2015-03-22,43
2015-03-29,44
2015-04-05,30
2015-04-12,100
2015-04-19,43
2015-04-26,44
2015-05-03,67
2015-05-10,56
2015-05-17,30
2015-05-24,33
2015-05-31,46
2015-06-07,25
2015-06-14,23
2015-06-21,30
2015-06-28,40
2015-07-05,29
2015-07-12,68
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,30
2015-08-16,18
2015-08-23,0
2015-08-30,28
2015-09-06,0
2015-09-13,25
2015-09-20,47
2015-09-27,24
2015-10-04,0
2015-10-11,69
2015-10-18,27
2015-10-25,0
2015-11-01,36
2015-11-08,69
2015-11-15,85
2015-11-22,59
2015-11-29,20
2015-12-06,39
2015-12-13,20
2015-12-20,51
2015-12-27,36
