Category: All categories

Week,ebook: (Portugal)
2012-01-01,82
2012-01-08,83
2012-01-15,91
2012-01-22,70
2012-01-29,63
2012-02-05,75
2012-02-12,76
2012-02-19,74
2012-02-26,68
2012-03-04,86
2012-03-11,78
2012-03-18,77
2012-03-25,81
2012-04-01,73
2012-04-08,60
2012-04-15,65
2012-04-22,71
2012-04-29,72
2012-05-06,51
2012-05-13,74
2012-05-20,70
2012-05-27,70
2012-06-03,71
2012-06-10,61
2012-06-17,52
2012-06-24,60
2012-07-01,66
2012-07-08,57
2012-07-15,59
2012-07-22,76
2012-07-29,67
2012-08-05,68
2012-08-12,72
2012-08-19,75
2012-08-26,59
2012-09-02,51
2012-09-09,51
2012-09-16,68
2012-09-23,89
2012-09-30,79
2012-10-07,88
2012-10-14,79
2012-10-21,89
2012-10-28,82
2012-11-04,72
2012-11-11,75
2012-11-18,74
2012-11-25,68
2012-12-02,77
2012-12-09,75
2012-12-16,71
2012-12-23,100
2012-12-30,80
2013-01-06,77
2013-01-13,85
2013-01-20,73
2013-01-27,57
2013-02-03,80
2013-02-10,82
2013-02-17,77
2013-02-24,77
2013-03-03,61
2013-03-10,67
2013-03-17,57
2013-03-24,80
2013-03-31,67
2013-04-07,61
2013-04-14,61
2013-04-21,62
2013-04-28,69
2013-05-05,59
2013-05-12,70
2013-05-19,56
2013-05-26,60
2013-06-02,64
2013-06-09,59
2013-06-16,55
2013-06-23,62
2013-06-30,55
2013-07-07,56
2013-07-14,61
2013-07-21,74
2013-07-28,69
2013-08-04,64
2013-08-11,57
2013-08-18,60
2013-08-25,57
2013-09-01,52
2013-09-08,57
2013-09-15,65
2013-09-22,65
2013-09-29,63
2013-10-06,67
2013-10-13,63
2013-10-20,68
2013-10-27,49
2013-11-03,77
2013-11-10,59
2013-11-17,63
2013-11-24,52
2013-12-01,54
2013-12-08,67
2013-12-15,63
2013-12-22,82
2013-12-29,71
